"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NCF1",117.527035179926,1.27392928454255,0.284302366944692,2.4886189889853e-06,0.000583474497817524
"BTLA",13.2555883817382,1.26965628571006,0.889711814500436,0.000579123461869689,0.0297017945506417
"IL12RB1",66.987883834848,1.25377635005471,0.599099293604293,0.00026750479598001,0.0175739421431074
"GBP2",1129.58598661645,1.24908688623137,0.292775877430371,5.13767443321972e-06,0.00097885012889068
"GIMAP1-GIMAP5",37.2178454762869,1.24866642745046,1.17748905578551,0.000354986639656114,0.0209380143527359
"VNN2",182.578092585208,1.24832829123172,0.325906493119026,1.58423395698532e-05,0.00250004304827337
"CD52",143.989471382877,1.24044784059461,0.531381441638059,0.000192159714151536,0.0144005718203425
"FCN1",243.175728239757,1.23622994047371,0.373701479130187,4.36721930473977e-05,0.00538908294957812
"PLXNC1",618.728175072661,1.2338633279117,0.22347929679454,1.83272112182453e-08,1.30813038559399e-05
"GPR171",23.4825080801576,1.22273760914355,0.913503551802716,0.000676157119095047,0.0329227001718367
"SH2D1A",30.3641823042922,1.22196310465828,0.640212336515826,0.000355207283549356,0.0209380143527359
"SASH3",219.839109750757,1.21556038456464,0.291962321909801,7.08091210612029e-06,0.00126317314658311
"CD80",42.4945637561358,1.21516548994875,0.617295950885278,0.000328579012471669,0.020046984210725
"MARCH1",233.810516786792,1.21397160633839,0.256688210110448,9.96388663674272e-07,0.000320641779376905
"AIM2",56.1775922632289,1.21380059160528,0.751380682385165,0.000530353219404877,0.0279876432053789
"MNDA",349.249320401699,1.20857892960885,0.261908238630325,1.59471735864434e-06,0.00044660878250553
"IRF4",58.8356252718009,1.2064598511556,0.498204795530711,0.000173020183602617,0.0137386426149737
"CD40",143.997490310554,1.20627694103831,0.423101048395469,9.19339788387774e-05,0.00898107417084532
"CARD16",93.4928881646922,1.20160520306607,0.508110708117308,0.00018828729453637,0.0142435353795607
"TLR2",334.243104060391,1.20008223897994,0.261381174128194,1.75634146732723e-06,0.000472542232160237
"CYSLTR2",24.9985534752146,1.19755136196829,0.946022441838682,0.000734457251715909,0.0349388765656855
"PTPN7",100.145302403733,1.19611735394376,0.6206038178939,0.000353678769675339,0.0209380143527359
"FAM105A",191.23266815959,1.19156981542595,0.254888102655304,1.27166201785444e-06,0.000369707937065572
"FHAD1",27.1511897522841,1.19155305811258,0.652167095601685,0.000409100604017515,0.0233942826241654
"CTSS",3521.09985030188,1.1902976433385,0.182517571784052,4.03136794400784e-11,6.73145696361972e-08
"TAP1",3172.63020877389,1.18717522241611,0.620595797540985,0.000363557888904925,0.0212338507925538
"FAM78A",111.499556769701,1.18620245630188,0.335871085866779,2.99557528106185e-05,0.00416638826379552
"PTAFR",402.439403577332,1.18268954107876,0.213870087410362,1.8332317126896e-08,1.30813038559399e-05
"KLHL6",158.360631486313,1.18114122051457,0.325673885499448,2.50246083692731e-05,0.00360266554874131
"FCER1G",346.372485692454,1.18010733201428,0.394499201019845,7.49114594842763e-05,0.00768404295659964
"ZNF831",34.6302777503802,1.17557902508571,0.765950518364198,0.000616914992790345,0.0309599331774694
"ACAP1",64.9815205008101,1.16511520739469,0.484867067389101,0.000181421529591392,0.0141306084791629
"FCGR3A",1556.8711592487,1.16449709905522,0.393911052417573,7.95719073308375e-05,0.00801186590867303
"LAIR1",264.68654611416,1.16359110524573,0.267208175008052,4.13713574310722e-06,0.000829376909765026
"CLEC2D",133.870472648968,1.15995258915451,0.440213932084542,0.000129393583360578,0.0116681730226033
"BCL2A1",221.050741199588,1.1505760561192,0.252955442575526,2.14089497225877e-06,0.000549005754448609
"GLIPR2",181.562674698096,1.1497471866313,0.248624553290808,1.60552755104962e-06,0.00044660878250553
"FCGR2A",1021.4653031015,1.14907114154118,0.233566545898546,4.52870367928266e-07,0.000176964487581874
"NLRC4",64.4965374585335,1.14336518127981,0.55584289537451,0.000303741148422736,0.0190267165187555
"EMILIN2",299.866416003278,1.14264695421002,0.219679811170776,1.1328600006601e-07,5.31214238023815e-05
"HLA-DQA2",105.35602936378,1.14161071048182,0.877926178680746,0.000831056790747612,0.0388584160961533
"CD5",39.3009274755521,1.13575296360566,0.694724861690592,0.000565206800032651,0.0293549810194173
"LINC01272",83.2581511821512,1.13552465985907,0.351526999541974,5.18007613130819e-05,0.00578863939638224
"IKZF1",273.882300099522,1.13318994803156,0.348347066414142,4.99038450214599e-05,0.00568765211452916
"GIMAP4",322.800327561562,1.12256809265313,0.434605863940767,0.000141527491972268,0.0120349699391133
"MS4A4A",226.421053365355,1.11977879380645,0.551242429312691,0.000319342107561681,0.0195561293630683
"GPR65",142.183792189176,1.11654404697997,0.509482185821007,0.000252373068211109,0.0171154826259534
"ACKR4",62.3336662575063,1.11611893600367,0.742918562008448,0.000693696656351298,0.0334851456589338
"FPR1",236.444244597496,1.11451155596363,0.268049145848531,7.59763916393243e-06,0.00132308286351012
"CD53",613.090011861121,1.10956236814506,0.249489423831962,3.14894250632187e-06,0.000680005847549402
"KCNA3",80.5386201468707,1.10296498768694,0.468451242898948,0.000199418082635609,0.0147425656406109
"CD7",48.2475870258872,1.09933717066309,0.781535494669501,0.000802947758746212,0.037759251050266
"ITGB2",1418.99624715405,1.09776526499434,0.231986196304734,1.07995876304923e-06,0.000340851600368538
"ITGA4",365.800272995813,1.08405166519756,0.245825247375177,3.62197151136856e-06,0.000762099954417702
"HCK",317.280615415246,1.08060117258356,0.412639934254933,0.000135635262477294,0.0119039889185955
"JAK3",245.146840958781,1.07788322726475,0.240039031531132,2.76349116799203e-06,0.000621293384234043
"FGR",257.863046138323,1.07535872239864,0.288174377125452,2.10144635025955e-05,0.0031071114865279
"CCL3L1",10.6642061643975,1.06834346885771,1.27443874324856,9.73353534232097e-05,0.00928760360687045
"MYO1G",147.151990151398,1.06820860942811,0.401577422442351,0.000127827566781317,0.0116550334778609
"SP140",61.5375314242639,1.0679510307983,0.676064630811132,0.000651049469466153,0.0320296308122963
"FPR3",421.645591741838,1.06483559636145,0.253976797563042,7.05274448304256e-06,0.00126317314658311
"C3AR1",195.829918263738,1.063217693944,0.461005732107063,0.000216486490084474,0.0155151802413379
"BHLHE41",309.038603118623,1.06167693929367,0.283276416178991,2.03913912223101e-05,0.00304239557036866
"CIITA",340.937566061038,1.05736839784283,0.59060166960565,0.000474246072555662,0.0259444218092784
"S100A8",1862.50024684593,1.05589608990825,0.275533112043895,1.70843252996506e-05,0.00267036139826539
"TRAT1",16.8996555303622,1.05398581685787,0.876876128057583,0.00107091345827757,0.0467442331841795
"HCST",50.3372699328913,1.05248602622244,0.569166546351611,0.000433982349635954,0.0243089362533286
"SIGLEC10",133.574060969724,1.05005272957814,0.562913104623732,0.000423674298114232,0.0238946480434735
"RGS2",411.52119404636,1.04658218622707,0.595524646550474,0.000501826871933846,0.0270032217120599
"LOC731424",15.1445144173579,1.0434002308452,1.01179955649654,0.00105979779080829,0.0465064207025283
"SYT11",192.032664987987,1.0395293808315,0.251954006264883,8.52440209262479e-06,0.00142242681873127
"SLA",397.690380298004,1.03530264818222,0.349511719503888,8.10794385648985e-05,0.00811387649833607
"SELPLG",347.948317282098,1.03328847038787,0.296811349744661,3.42473387554859e-05,0.0045696530378458
"IRF1",1466.32984236627,1.02713752474556,0.29062741391969,3.11122558020154e-05,0.00425511951852231
"RGS1",144.311871191185,1.02695235959418,0.46870092400596,0.00025918412428451,0.017375724042555
"SLAMF1",21.496814476107,1.02501636874989,0.808343588794889,0.00105965302036445,0.0465064207025283
"CLEC7A",260.13179170012,1.01001375191738,0.296282644536105,3.90333586858251e-05,0.00508424986310922
"OLR1",239.866070621421,1.00321075059158,0.395523181552037,0.000154775679964741,0.0127609968586648
"GBP4",999.849336521758,1.00262835325338,0.702634856750277,0.000869179157026616,0.0401830093665375
"CYTIP",164.115105902609,1.0009315916793,0.264875219927762,1.93242260683564e-05,0.00291246684502486
"DRAM1",399.018613451648,0.997485688585024,0.221469880057584,2.74665412288048e-06,0.000621293384234043
"FGD2",147.41569236641,0.992333019437549,0.499147703642566,0.000355941140897716,0.0209380143527359
"CCND2",600.72541691379,0.991520972496038,0.185624322291773,6.11333889424952e-08,3.13537868538822e-05
"C1orf162",103.975920997359,0.988640563991945,0.592617614194821,0.000593863967268196,0.0301749084545066
"GPNMB",2834.70852678771,0.980239373412255,0.42104519783204,0.000211651820061706,0.0152352178546172
"LILRB3",131.083200538694,0.976350545766947,0.534554076226396,0.000461198412290063,0.0255646127427961
"RCSD1",183.017214845887,0.973522891164313,0.414963826583977,0.000206009128999995,0.0150709500221942
"HAVCR2",263.69913439799,0.972951556153485,0.493293492161419,0.000365833926661727,0.0212910156183414
"GBP1",1558.56522757176,0.966963897091447,0.702743867725384,0.000971212728783564,0.0434319981057108
"JAK2",453.010222598156,0.962555708341071,0.216197770374434,3.32461656843262e-06,0.000708618274300209
"THEMIS2",300.466278476961,0.962407484539363,0.29213013927978,4.75025796119982e-05,0.00551773312744545
"PIGR",28230.2948270809,0.959925993017997,0.601924881693606,0.000678299561597328,0.0329227001718367
"CASP1",344.440773572097,0.951984302359231,0.432224518613837,0.000256122551625048,0.0172982852562563
"CD37",111.021278180841,0.949337071733255,0.601328047110521,0.000699700504472477,0.0336759081507399
"GVINP1",194.119198570973,0.947566328322357,0.602693754940267,0.000707934509678413,0.0338735311161578
"B2M",37525.6139410349,0.941314130444144,0.369073781164692,0.000151151825871547,0.0126156480990873
"NCKAP1L",448.756411245032,0.939612770493127,0.436004171923344,0.000275416784753886,0.0178661670805565
"FAM46C",541.980037334467,0.93280088427555,0.41259392246957,0.00023398903809231,0.0163492945484765
"RASSF4",361.83489125699,0.932055955745929,0.384471504077711,0.000182575579344915,0.0141341056990978
"TLR7",91.8291487701919,0.924123923704857,0.439640532136723,0.000298822312499777,0.0187903133821699
"CD8A",105.203325860373,0.919783792374957,0.688471708335784,0.00107647694057634,0.0467794139596234
"SCPEP1",547.642653351679,0.910205485559547,0.374137477437772,0.000179622985928412,0.0141051313160627
"PLEKHO1",264.853296935158,0.902321686979252,0.296649094961604,7.09438012276562e-05,0.0074636517035147
"LCP1",2478.24455011425,0.890308344027937,0.323433708526326,0.000110356560122559,0.0101751228355699
"PIK3CG",206.835748462753,0.886634997080992,0.302923754891571,8.44931818469272e-05,0.00840425515437435
"TBXAS1",256.827758116973,0.884450814933018,0.238448285700967,2.22337194722126e-05,0.00325803396408887
"LAPTM5",2047.65642002242,0.875630236739618,0.376736036186074,0.000210233432940311,0.0151997845877374
"ITGAM",347.970118193893,0.86666676318814,0.407601696129407,0.000285107179511219,0.0182069222962573
