"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CD5",36.1044028140428,1.6636847516723,0.686067897575539,9.50947269669074e-05,0.00759872129552724
"NLRC3",92.469853876941,1.66062216995705,0.488471679809116,2.17382111044683e-05,0.00261134292733312
"AIM2",47.4260946864306,1.65898065456326,0.531436201302728,3.5183226009017e-05,0.0037001404333741
"AIF1",206.917649450243,1.65423050140225,0.449796563052937,1.26327803635967e-05,0.00170187564220653
"MARCH1",213.741356066816,1.6530997139847,0.342152619713099,2.94982338453938e-07,8.05583354263099e-05
"NCF1C",57.4169712707177,1.65141124638543,0.554110338469893,4.44325629709876e-05,0.00431128100589326
"C1QB",1801.43217487894,1.65051835451327,0.206751651111827,3.84292043439036e-16,1.56608615002493e-12
"HLA-DMA",539.965384042393,1.64792205746982,0.272447404370587,3.81322922657965e-10,2.95997379154642e-07
"ZNF831",32.9375957829497,1.64592925828683,0.543514028883081,4.15380536899537e-05,0.00417761755033218
"HLA-DPB1",1389.40347358346,1.64561683505717,0.309074236002864,2.53605945107963e-08,1.11730554356889e-05
"PTPRCAP",68.342490843235,1.64314043945307,0.381836657699835,2.42049105167343e-06,0.000481175910162543
"HLA-DOA",370.137082646256,1.63403308987505,0.381593940529482,2.62927804746328e-06,0.000516383872912035
"SASH3",198.474288210396,1.63172600217587,0.416690749405252,7.50379502310067e-06,0.00119920943795651
"IL7R",282.365585784004,1.6313793243602,0.311456036762425,4.11807128533641e-08,1.7212482056992e-05
"IL2RB",148.51169358132,1.62137998325096,0.356912641238779,1.05673141350987e-06,0.000226654983837162
"HLA-DRB5",992.982998441296,1.61211640318749,0.315234077602431,8.07629150521512e-08,2.92559172947804e-05
"HAVCR2",236.172134053342,1.60620679647793,0.47351150057192,2.36014252092472e-05,0.00272855909458112
"KLRK1",33.9581836287661,1.60521157711268,0.686571451811142,0.000115994402186765,0.00891898467003048
"IGSF6",160.996464628692,1.60380158548137,0.34902710411627,8.83198381528139e-07,0.000197424426535193
"HLA-DRB1",2363.88033537493,1.59905979923053,0.296988395081293,1.98912650797315e-08,9.26421463042009e-06
"LILRB2",127.71290413779,1.59887502194362,0.662140865280038,0.000106075995011257,0.00823402283180238
"FCGR3A",1448.9895301143,1.58802247288839,0.323696126639874,2.32836720074835e-07,6.77762745346408e-05
"CMKLR1",251.278426240849,1.58145568751328,0.4199711620875,1.14144266683342e-05,0.0015768353315298
"PLXNC1",568.424996446738,1.5758446727273,0.516055635605471,4.35331415343767e-05,0.00424930383324476
"ACKR4",64.8527389412539,1.57464509205338,0.723409809572188,0.00014831222278871,0.0110394408387158
"MS4A4A",211.242864639074,1.5742381552725,0.414693049742861,1.07422112929447e-05,0.00154018175756578
"IFI30",1985.52279987646,1.57061585965388,0.332246498870086,5.35933303665743e-07,0.000135438040146616
"IKZF3",262.453528686613,1.56521533523969,0.340498090539339,9.29360377056661e-07,0.000204723020356765
"UBD",1154.94785212394,1.56352530632085,0.291755326636627,2.42190357625098e-08,1.09665139434631e-05
"CD69",42.6188511892174,1.56347555169415,0.460956664137282,2.48243178758752e-05,0.00282979864122127
"GBP4",954.769180163311,1.55835430134185,0.388896130050101,6.51780042848754e-06,0.00108414964066097
"FPR3",377.292579481043,1.55667792515816,0.404525251352886,9.71576139234553e-06,0.00142681645456418
"BATF2",206.039220211912,1.55513688093479,0.385564849324658,6.1011296616332e-06,0.00102530427437405
"ITK",87.1017772842497,1.55290259669246,0.414373143345521,1.22876358685687e-05,0.00167942129965936
"CD52",136.816244265895,1.54411016772438,0.605131526884265,9.49050516215011e-05,0.00759872129552724
"GPR68",30.6394160352672,1.53886848348619,1.06911220989326,0.000286408533352545,0.0183808878038576
"SLA",350.791643222674,1.53754361341703,0.455974198290349,2.64839562790931e-05,0.00289741591480199
"C1QC",1136.68238405324,1.52882672920157,0.217349431734638,6.54920674372186e-13,1.0675861912941e-09
"IKZF1",246.728621413409,1.52142567231063,0.458704929711385,2.97421714263788e-05,0.00316880481321177
"RGS1",132.649567936627,1.52025319131842,0.543074546429348,6.84885350487469e-05,0.00606756309690012
"CD209",71.2735695471455,1.51446894775754,0.672971755337193,0.000147411668736368,0.0110227413397777
"CD247",40.1837837431494,1.51037669736371,0.562502378729347,8.18204903630352e-05,0.00691065188294216
"PLEK",404.052264227419,1.50563339090272,0.580993724651183,9.40013780030575e-05,0.00758572506350416
"LILRB3",109.892499441072,1.4965081095933,0.711318929852849,0.000181893739724998,0.0131707948565892
"DOCK2",456.830372709358,1.47897406964074,0.432188330796587,2.56518801363012e-05,0.00286981196227096
"CD72",72.010993762965,1.47077328784209,0.538505453065437,7.98517993736542e-05,0.00682909196710546
"BIN2",126.365808438469,1.46941320626847,0.420113825073894,2.24438153327726e-05,0.00267048637766077
"ITGB2",1285.07953575155,1.46260642393179,0.331119427855202,2.09023409496397e-06,0.000425911324775097
"SLC6A14",1305.54674207826,1.44052799355194,0.289133202425643,2.02022677762588e-07,6.3330224427076e-05
"IL2RA",89.5241702354954,1.44041704061747,0.791216886092304,0.000276798265645472,0.0178491920264377
"EMILIN2",273.681441222623,1.4400799084962,0.538018626039002,8.92065222644069e-05,0.00738150009864009
"FCGR3B",373.901552759183,1.43683882326935,0.719624794227632,0.000225752636986322,0.015659547810698
"FAM78A",103.09039435758,1.43505276285871,0.576986429037269,0.000117599160739958,0.00899992450338992
"RHOH",36.5454256275391,1.43111265285193,0.656025623402343,0.000179287990737967,0.0130472032902661
"LAIR1",244.28982094216,1.43053224530303,0.544653809103099,9.68484372620902e-05,0.00770110427224065
"PDPN",129.266214402762,1.42621330442953,0.821533066399268,0.000310535910075516,0.0193207857638969
"DMBT1",1314.37474190139,1.42201829342723,0.977070280602819,0.000390968632300612,0.0228429379036999
"GBP1P1",20.2849203134769,1.41286623797606,1.04924784000002,0.000406703579420412,0.0234344399318803
"GLIPR2",158.489779791648,1.41158431737198,0.722920413575583,0.000246811970515742,0.0166251319478393
"LCP1",2040.91354662899,1.40972319738969,0.429012466672115,3.48667739521114e-05,0.0036906706635933
"CCL18",482.256429346634,1.40957311943694,1.05535258497243,0.000409718138800435,0.0234344399318803
"CD84",415.059843765148,1.40815848903628,0.509817131374959,8.10194151607899e-05,0.00687863274237519
"CCR1",255.353944879484,1.40654212024625,0.453439541895164,4.77276007234491e-05,0.00452330011274967
"CTSS",3371.55283005327,1.40545591672772,0.2411153258754,2.13444611730697e-09,1.24262879136503e-06
"CD274",152.328605220853,1.40311707221491,0.526353871862026,9.38663700645158e-05,0.00758572506350416
"GIMAP5",147.033066188097,1.40254034995587,0.962658159945379,0.00040912515577938,0.0234344399318803
"TLR2",310.715482332409,1.39285594362928,0.435384470353825,4.10451470993429e-05,0.0041609514118351
"PILRA",120.681693411141,1.39265452986343,0.571950279063758,0.000132081061002308,0.00992190495575402
"FPR2",71.8050475793784,1.3924225351054,0.940513343817877,0.000413310321968686,0.0234751622244305
"TYROBP",337.737836650174,1.39030553170282,0.602183713616224,0.000157896173149391,0.0115939888221091
"PTPN7",92.7599751042622,1.38715534536955,0.659497263101175,0.000209409647364607,0.0147774314358895
"NCKAP1L",411.925442443258,1.36704838429067,0.469912320178177,6.69950073165549e-05,0.00600047040806133
"CD74",12072.7005629879,1.36523246078431,0.292041044735161,8.75596556257703e-07,0.000197424426535193
"IL10RA",383.922885438303,1.35548775752759,0.498001788690503,8.99432413823107e-05,0.00740487261501539
"SNX10",679.224383912838,1.35466297702491,0.483835556321574,8.00169661810407e-05,0.00682909196710546
"ARHGAP9",97.2256399328238,1.3484166980338,0.642478194602258,0.00021994187296105,0.0153216772270858
"RCSD1",168.729351287464,1.34723022121657,0.512158841166838,0.000103684119422683,0.00808686521870412
"DOK2",93.7741067796039,1.33959702213209,0.420120943165281,4.34557579474004e-05,0.00424930383324476
"FCGR2B",313.088662982946,1.32904929069425,0.358929699312758,1.65993352253097e-05,0.0021475060595855
"ITGB7",149.745020135634,1.32587128824697,0.449869823332924,6.50290291892079e-05,0.00585656466747667
"FGL2",1018.31732479689,1.31425440818119,0.470620161720316,8.33115981994555e-05,0.00700032145489342
"KLHL6",150.121561370375,1.29747825772005,0.577944699574194,0.000188335710276899,0.0135244952124393
"VSIG4",317.402914689944,1.29461772387237,0.418734070527039,5.25505645849498e-05,0.00489501001885295
"SCPEP1",512.379873196899,1.28912789725414,0.325824392451845,9.50892582069266e-06,0.00142206421837717
"DOCK10",309.232032621072,1.28672697570711,0.409053589245397,4.82744495209724e-05,0.00454868093434319
"GVINP1",191.480756188206,1.28246255317575,0.259067733441552,2.83670715746642e-07,8.05583354263099e-05
"FAM105A",196.052423046677,1.27195563513994,0.322802991734136,9.99410178580292e-06,0.00145458797509262
"VNN2",171.952184048332,1.26216556210389,0.528866113491783,0.000157807677536064,0.0115939888221091
"LY96",60.3724753680677,1.25830691904856,0.357404343596154,2.50024673038565e-05,0.00283031402444559
"C15orf48",369.05189149579,1.2576384076639,0.607758431209389,0.000250042671502758,0.0167311144603414
"CARD16",93.9991725266496,1.25724172003478,0.310373260122258,7.61232042617238e-06,0.00120474208997122
"SP140",58.1872493383443,1.25123535983172,0.724901879902055,0.000404579324346561,0.0234344399318803
"ABI3",99.4105755152093,1.25082465976743,0.463854870767227,0.000100281343753037,0.00789703470781766
"ODAM",132.658872597968,1.24939725609622,0.962071152162218,0.000627357079695473,0.0324652309717965
"SLAMF1",20.1784609974908,1.24925236384779,0.926953912937297,0.000611708741565348,0.0318577130870822
"RNASE2",10.9723454895298,1.24846073410333,1.12492710119999,0.000581333266373549,0.0306093047451982
"NKG7",57.3293820765481,1.24807154180206,0.678817627913484,0.000348715567140934,0.0208220236628732
"SPN",147.761346601595,1.24430287569749,0.589205372547929,0.000237915036643154,0.0163551513661328
"C19orf38",23.8269864344085,1.24322555052359,0.83691228588086,0.000548350619400255,0.0292457454690724
"CECR1",469.00116021464,1.24107485557858,0.667753774115706,0.000341635580976574,0.020549821422506
"LILRB1",113.93977217378,1.23991450058664,0.698998439093548,0.000384413242520346,0.022540720382461
"SPI1",206.275961675515,1.23685346703185,0.667598889339825,0.000345909342428114,0.0207303977607378
"ST8SIA4",269.567058010423,1.23416370437936,0.553430805320732,0.000202075852641896,0.0143730248160095
"TLR4",576.703842202157,1.22937334925579,0.377525232225847,4.10964466784523e-05,0.0041609514118351
"LRMP",66.0676640236984,1.22895139717887,0.619673786106321,0.00028970678690824,0.0185196483662401
"GMFG",98.5406205156042,1.22569308093232,0.410622928510955,6.47671134580568e-05,0.00585656466747667
"RGS2",400.284756199201,1.22526642040337,0.231738674203746,5.59268120290191e-08,2.12014642531405e-05
"CYTH4",203.140016114068,1.21684111481078,0.575271082205027,0.000241735428233094,0.0164853032470088
"STAT4",59.0238351456215,1.21292127280295,0.537662569997203,0.000197345549998841,0.0141093412742592
"RTN1",50.5809744591478,1.19789940850338,0.716755464090017,0.000463293608805638,0.0255140172876375
"CD37",99.6826077649815,1.19624152114107,0.754722524718752,0.000521110235131608,0.0279428221805274
"ITGA4",346.318023842306,1.19223845286343,0.626953302480675,0.000336013081963123,0.0202864787002995
"GPNMB",2551.94623010806,1.1903774967057,0.720814771687197,0.000480094632798705,0.0261739886597047
"ITGAL",237.642654957051,1.18507930987166,0.642310179897498,0.000366952268065541,0.0216727859483202
"FGD2",145.206937557004,1.17901189875184,0.364095341074323,4.31752046813721e-05,0.00424930383324476
"HCK",292.100119154388,1.1732362828356,0.691355333348283,0.000458850760736964,0.0253949618534687
"IL2RG",221.728698000206,1.16933009967275,0.595616865400976,0.000312477644739103,0.0193676733341906
"SNX20",47.6227645833284,1.1686252010759,0.704459062817715,0.000486536628905,0.0264367786259347
"DRAM1",381.841664260037,1.16819772667301,0.274156202269659,4.37006215938945e-06,0.000774308513697907
"FERMT3",201.863716514902,1.16593312877519,0.304071324056956,1.3387491804293e-05,0.00177422360895757
